Test No., Merge Sort (ms), Hybrid Merge Sort (ms)
500, 0.178151, 0.055317
600, 0.248359, 0.046104
700, 0.238234, 0.051227
800, 0.322461, 0.056203
900, 0.386787, 0.063143
1000, 0.478769, 0.095508
1100, 0.402033, 0.094423
1200, 0.432384, 0.113774
1300, 0.467917, 0.13012
1400, 0.500943, 0.116438
1500, 0.537123, 0.131976
1600, 0.572244, 0.125884
1700, 0.604632, 0.140215
1800, 0.683022, 0.139915
1900, 0.690038, 0.155923
2000, 0.775494, 0.18216
2100, 0.766381, 0.22855
2200, 1.15861, 0.375189
2300, 0.848665, 0.388981
2400, 0.890551, 0.229281
2500, 0.92219, 0.23762
2600, 0.961674, 0.240257
2700, 0.990431, 0.244719
2800, 1.03004, 0.250141
2900, 1.07327, 0.258458
3000, 1.10686, 0.264646
3100, 1.15156, 0.27205
3200, 1.19918, 0.283309
3300, 1.22123, 0.288186
3400, 1.29301, 0.296387
3500, 1.4176, 0.564154
3600, 1.36819, 0.30965
3700, 1.39145, 0.318744
3800, 1.43119, 0.333642
3900, 1.47691, 0.362782
4000, 1.79835, 0.73475
4100, 2.1083, 0.644971
4200, 1.97635, 0.443528
4300, 1.76109, 0.559773
4400, 1.73498, 0.475106
4500, 1.74148, 0.461786
4600, 1.78235, 0.464108
4700, 1.79793, 0.480524
4800, 1.91858, 0.500947
4900, 1.99686, 0.504358
5000, 2.71355, 0.500385
5100, 1.94424, 0.556168
5200, 2.00485, 0.534926
5300, 2.06788, 0.526538
5400, 2.08552, 0.539604
5500, 2.13164, 0.988175
5600, 2.33396, 0.585484
5700, 2.21274, 0.560054
5800, 2.38922, 0.687671
5900, 2.32024, 0.57587
6000, 2.34417, 0.601886
6100, 3.37766, 0.991187
6200, 2.53899, 0.598762
6300, 3.21879, 0.607331
6400, 2.48183, 0.627124
6500, 2.57479, 0.633602
6600, 2.70598, 0.721425
6700, 2.64632, 0.650574
6800, 2.67048, 0.658575
6900, 2.70485, 0.656055
7000, 2.72706, 0.665318
7100, 3.1625, 0.673188
7200, 2.82965, 0.686763
7300, 2.86183, 0.703345
7400, 3.0352, 0.7039
7500, 3.0434, 0.711912
7600, 3.0205, 0.719219
7700, 3.03128, 0.745417
7800, 3.07453, 0.777246
7900, 3.31436, 0.82853
8000, 3.14447, 0.847442
8100, 3.28304, 0.95025
8200, 3.21629, 0.92474
8300, 3.30252, 0.949691
8400, 3.5496, 0.960403
8500, 3.60634, 0.970788
8600, 4.02124, 1.19517
8700, 3.68738, 1.30114
8800, 3.57294, 0.99198
8900, 3.57132, 0.989381
9000, 3.62158, 1.00375
9100, 3.64691, 1.01074
9200, 3.69664, 1.02387
9300, 3.95373, 1.03404
9400, 3.83086, 1.03845
9500, 3.83871, 1.14687
9600, 4.46235, 1.23891
9700, 4.79557, 1.07253
9800, 4.01815, 1.10504
9900, 3.99869, 1.0782
10000, 4.03846, 1.10315
