Test No., Merge Sort (ms), Hybrid Merge Sort (ms)
500, 0.124942, 0.053362
600, 0.154338, 0.045223
700, 0.192209, 0.050565
800, 0.26042, 0.066663
900, 0.277814, 0.062463
1000, 0.285751, 0.111774
1100, 0.291583, 0.106687
1200, 0.322069, 0.100724
1300, 0.481598, 0.107658
1400, 0.378288, 0.113257
1500, 0.41184, 0.119975
1600, 0.428019, 0.128621
1700, 0.458718, 0.133416
1800, 0.511356, 0.158048
1900, 0.51858, 0.146932
2000, 0.540255, 0.179511
2100, 0.579538, 0.200674
2200, 1.01497, 0.384842
2300, 0.757704, 0.385779
2400, 0.653586, 0.221752
2500, 0.687959, 0.230854
2600, 0.719763, 0.237335
2700, 0.755629, 0.24332
2800, 0.785759, 0.24921
2900, 0.805356, 0.258614
3000, 0.82762, 0.276795
3100, 0.861861, 0.271545
3200, 0.893435, 0.278711
3300, 0.932472, 0.307498
3400, 1.07811, 0.296782
3500, 1.03016, 0.626666
3600, 1.01945, 0.309279
3700, 1.04927, 0.316969
3800, 1.06369, 0.328268
3900, 1.09703, 0.356239
4000, 1.74998, 0.598601
4100, 1.70957, 0.617182
4200, 1.68278, 0.518008
4300, 1.22258, 0.80391
4400, 1.35, 0.450272
4500, 1.29661, 0.456817
4600, 1.32606, 0.482806
4700, 1.33982, 0.481695
4800, 1.45152, 0.487882
4900, 1.40041, 0.896687
5000, 1.42723, 0.503123
5100, 1.46492, 0.541776
5200, 1.50593, 0.521049
5300, 1.51898, 0.53873
5400, 1.56465, 0.539395
5500, 1.72454, 0.993758
5600, 2.55214, 0.75228
5700, 1.66392, 0.562353
5800, 2.07729, 0.586829
5900, 1.70261, 0.572907
6000, 1.77445, 0.599091
6100, 2.52328, 0.868805
6200, 1.88379, 0.67029
6300, 1.98947, 0.642887
6400, 1.86967, 0.614254
6500, 2.02377, 0.624855
6600, 2.3109, 0.649409
6700, 1.98494, 0.648653
6800, 1.99391, 0.650132
6900, 2.03106, 0.657684
7000, 2.05839, 0.682801
7100, 2.13342, 0.679399
7200, 2.12797, 0.681375
7300, 2.14182, 0.70119
7400, 2.26677, 0.707476
7500, 2.22463, 0.705343
7600, 2.30952, 0.716439
7700, 2.27402, 0.726389
7800, 2.29715, 0.787439
7900, 2.44409, 0.81652
8000, 2.35246, 0.851316
8100, 2.50241, 0.89645
8200, 2.42527, 0.917911
8300, 2.468, 0.956318
8400, 2.50053, 1.07897
8500, 3.01878, 0.979925
8600, 2.77522, 1.02764
8700, 3.58114, 0.982236
8800, 2.6576, 0.993586
8900, 2.6848, 0.989172
9000, 2.72355, 1.00853
9100, 2.72899, 1.00859
9200, 2.77106, 1.01216
9300, 2.91005, 1.03079
9400, 2.85543, 1.03571
9500, 2.8734, 1.05577
9600, 3.87325, 1.15689
9700, 4.2594, 1.05732
9800, 3.07549, 1.10405
9900, 2.96717, 1.07793
10000, 3.01457, 1.08838
